1970,16309,15932,32241,102.4
1980,19236,18888,38124,101.8
1990,21568,21301,42869,101.3
2000,23667,23341,47008,101.4
2010,24881,24673,49554,100.8
2016,25694,25552,51246,100.6
2020,26044,25930,51974,100.4
2030,26508,26434,52941,100.3
2040,26092,26106,52198,99.9
2050,24678,24755,49433,99.7
2060,22668,22578,45246,100.4
